"","name","Base Currency","ISIN","secid","Global Broad Category Group","Morningstar Category","Firm Investment Objective","Strategy Name","Domicile","Fund Legal Structure","Firm Name","Branding Name","Inception Date","Obsolete Date","Status","Manager Name","Manager History","Manager Tenure (Longest)","Manager Tenure (Average)","Primary Prospectus Benchmark","Net Assets Date","Net Assets - Share Class USD","Fund Size Date","Fund Size USD","Portfolio Date","Turnover Ratio % Date","Turnover Ratio %","...28","Gender","Start Date for Managed Investment","Lockup Months","Minimum Investment (Base Currency)","Minimum Initial Unit","Uses Leverage","Avg Leverage","Management Fee","Max Management Fee","Performance Fee","Performance Fee Note","Redemption Fee","Hurdle Rate","High Watermark","Beta Hedge Extent"
"1","1798 Volantis Class A","US Dollar","KYG207801054","FOUSA06MUZ","Alternative","HF Europe Long/Short Equity",NA,"1798 Volantis","Cayman Islands","Unstructured Hedge Fund","Lombard Odier Investment Managers",NA,2002-04-30,NA,1,"Rob Giles;Adam McConkey;","[2002-05-01 -- ] Rob Giles;[2002-05-01 -- 2010-09-01] Gervais Williams;[2010-09-30 -- ] Adam McConkey;",18.33,14.17,"S&P 500 TR USD",2012-07-31,483096955,2020-07-31,460900000,2006-12-31,NA,NA,NA,NA,2002-05-01,0,NA,NA,"Yes",NA,1.5,1.5,20,NA,NA,NA,"Yes",NA
"2","1837 Partners L.P.","US Dollar",NA,"FOUSA06HYO","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"1837 Partners L.P.-o","United States","Partnership (3C1)","RMB Capital Management, LLC","RMB Capital Management",2000-01-01,2015-10-27,0,"Frances E. Tuite","[2000-01-01 -- ] Frances E. Tuite",20.67,20.67,"S&P 500 TR USD",2015-02-28,164012090,NA,NA,2006-12-31,NA,NA,NA,"Female",2000-01-01,12,250000,"Monetary",NA,NA,1.5,NA,20,NA,5,NA,"Yes",NA
"3","2811 Small Value Fund LP","US Dollar",NA,"FHUSA04GHB","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"U.S. Small Cap Equity-o","United States","Limited Liability Company","AZA Capital Management",NA,2005-01-03,2010-08-30,0,NA,"[2005-01-03 -- 2010-08-30] Tarek Abouljoud",NA,NA,"Russell 2000 TR USD",2010-01-31,4828800,NA,NA,NA,NA,NA,NA,NA,NA,12,250000,"Monetary",NA,NA,1.5,NA,20,NA,0,10,"Yes",NA
"4","300 North Capital Long/Short Fund, LLC","US Dollar",NA,"F00000IS0P","Alternative","HF U.S. Long/Short Equity",NA,"Long/Short-o","United States","Limited Liability Company","300 North Capital, LLC","Old Mutual",2007-07-03,2012-05-31,0,NA,"[2007-07-03 -- 2012-05-31] Richard S. Campagna",NA,NA,NA,2012-04-30,19796210,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,"Monetary",NA,NA,2,NA,20,NA,0,NA,"Yes",NA
"5","360 Global Capital (QP), LP","US Dollar",NA,"FOUSA08OZ2","Alternative","HF Global Long/Short Equity",NA,"Global Equity-o","United States","Partnership (3C7)","360 Global Capital, LLC","360 Global Capital",2008-08-19,2011-09-07,0,NA,"[2008-08-19 -- 2011-09-07] Enrique J. Abeyta",NA,NA,NA,2011-07-31,109200000,NA,NA,2008-12-31,2008-12-31,8,NA,NA,NA,0,1e+06,"Monetary",NA,NA,2,NA,20,NA,3,NA,"Yes",NA
"6","3-Sigma Value, LP","US Dollar",NA,"FOUSA06LW8","Alternative","HF Global Long/Short Equity",NA,"Global Equity - Value Fund-o","United States","Partnership (3C1)","3-Sigma Value Investment Management, LLC",NA,2005-08-01,2011-05-18,0,NA,"[2005-08-01 -- 2011-05-18] Benjamin Weinger",NA,NA,"S&P 500 TR USD",2010-10-31,3e+06,NA,NA,2007-12-31,2007-12-31,50,NA,NA,NA,12,5e+05,"Monetary","No",NA,2,2,20,NA,NA,NA,"Yes",NA
"7","A Few Valuable Businesses Partnership","US Dollar",NA,"FOUSA05KUV","Equity","HF Long-Only Equity","First and foremost, the firm’s overall business strategy is intensely focused on producing above average returns for our investors by generating market returns in “up” markets and outperforming in “down” markets. The firm follows a disciplined private market valuation process that generates buy and sell targets for a defined universe of predictable and understandable businesses. The ability to grow the firm is effectively tied to the capacity of the firm’s investment professionals to generate attractive investment ideas. While the firm does not have a hard ceiling in terms of AUM at this point, its management believes that a doubling of its AUM would not impair its investment results. The firm’s target investment partner account is $1 million and above, in both partnership and separately managed account formats.","U.S. Equity-o","United States","Partnership (3C1)","KDI Capital Partners LLC","Kdi",1994-09-01,2016-08-26,0,NA,"[1996-01-17 -- 2016-08-26] John Day;[2004-09-27 -- 2016-08-26] Sheldon Fox;",NA,NA,"S&P 500 TR USD",2016-03-31,71209604,NA,NA,2006-12-31,2006-12-31,60,NA,NA,NA,0,5e+06,"Monetary","No",0,0.75,0.75,20,NA,NA,NA,"No",NA
"8","ABS Offshore SPC - Global Portfolio","US Dollar","KYG0060P1046","FOUSA05KV4","Alternative","HF Fund of Funds - Equity",NA,"FOF - Offshore SPC Global-o","Cayman Islands","Partnership (3C7)","ABS Investment Management LLC","ABS",2003-01-01,2017-10-10,0,NA,"[2003-01-01 -- 2017-10-10] Laurence Russian;[2003-01-01 -- 2017-10-10] Alain De Coster;[2003-01-01 -- 2017-10-10] Guilherme Valle;",NA,NA,"MSCI ACWI GR USD",2017-06-30,1319942000,NA,NA,2006-12-31,2006-12-31,20,NA,NA,NA,0,250000,"Monetary","Yes",0,1,1,10,NA,1,0,"Yes",NA
"9","ABS Limited Partnership","US Dollar",NA,"FOUSA05KV1","Alternative","HF Fund of Funds - Equity",NA,"FOF - Limited Partnership-o","United States","Partnership (3C7)","ABS Investment Management LLC","ABS",2003-07-01,2017-10-10,0,NA,"[2003-07-01 -- 2017-10-10] Laurence Russian;[2003-07-01 -- 2017-10-10] Alain De Coster;[2003-07-01 -- 2017-10-10] Guilherme Valle;",NA,NA,"MSCI ACWI GR USD",2017-06-30,426667000,NA,NA,2006-12-31,2006-12-31,20,NA,NA,NA,0,250000,"Monetary","No",NA,1,1,10,NA,5,0,"Yes",NA
"10","Absolute Value Fund LLLP","US Dollar",NA,"FHUSA04AC2","Alternative","HF Global Long/Short Equity",NA,"Global Equity-o","United States","Partnership (3C1)","Absolute Value Fund LP",NA,2001-11-01,2012-02-24,0,NA,"[2001-11-01 -- 2012-02-24] James Debevec",NA,NA,NA,2012-01-31,560849,NA,NA,2006-12-31,2006-12-31,300,NA,NA,NA,0,1e+05,"Monetary","Yes",0,1,1,20,NA,NA,NA,"Yes",NA
"11","Absolute Partners Fund Limited","US Dollar",NA,"FOUSA06HK3","Alternative","HF Asia/Pacific Long/Short Equity",NA,"Developed Asia Equity-o","Cayman Islands","Unstructured Hedge Fund","Absolute Partners Management Limited","Absolute Partners Management",2004-10-29,2010-04-22,0,NA,NA,NA,NA,"S&P 500 TR USD",2009-09-30,315661000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07,"Monetary",NA,NA,NA,NA,20,NA,NA,NA,"Yes",NA
"12","Adelante Emerging Equities Fund","US Dollar","GB00B0RQFL64","FHUSA04CW3","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Market Equity-o","Cayman Islands","Open Ended Investment Company","Adelante Asset Management Ltd","Adelante Asset Management",2006-01-16,2013-05-01,0,NA,"[2006-10-02 -- 2013-05-01] Stephen Johnston;[2007-04-02 -- 2013-05-01] François Mereau;",NA,NA,"JPM EMBI Global Diversified TR USD",2013-04-30,9640000,NA,NA,2006-12-31,2006-12-31,500,NA,NA,NA,0,250000,"Monetary","Yes",0,2,2,20,"of excess over LIBOR",0,NA,"No","Partial"
"13","AccessTurkey Opps LLC","US Dollar",NA,"FHUSA04BCA","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Market Equity","United States","Limited Liability Company","Access Turkey Advisors Ltd","Access Turkey Advisors",1999-04-01,NA,1,"Mustafa Say","[1999-04-01 -- ] Mustafa Say",21.42,21.42,NA,2020-08-31,27483836,2020-08-31,27483836,NA,NA,NA,NA,NA,1999-04-01,12,1e+06,"Monetary",NA,NA,2,NA,20,NA,0,NA,"Yes",NA
"14","Albert Investment Associates LP","US Dollar",NA,"FHUSA04G9C","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"U.S. Small Cap Equity-o","United States","Exempted Limited Partnership","Albert Ira",NA,1993-01-01,2010-06-21,0,NA,"[1993-01-01 -- 2010-06-21] Ira M. Albert",NA,NA,"S&P 500 (STD Life) (Mawer)",2009-08-31,2.5e+07,NA,NA,2006-12-31,2006-12-31,25,NA,NA,NA,0,5e+05,"Monetary","Yes",0,1,1,20,NA,NA,0,"Yes",NA
"15","ACK Asset Partners LP","US Dollar",NA,"FOUSA06HQF","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"U.S. Small Cap Equity","United States","Partnership (3C1)","ACK Asset Partners LP","ACK Asset Management",2005-10-31,NA,1,"Richard S. Meisenberg","[2005-11-01 -- ] Richard S. Meisenberg",14.83,14.83,"S&P 500 TR USD",2017-12-31,7.5e+07,2020-08-31,1.99e+08,NA,2006-12-31,500,NA,NA,2005-11-01,12,250000,"Monetary",NA,NA,1.5,1.5,20,NA,0,NA,"Yes",NA
"16","AlphaGen Japan Absolute Return Fund USD","US Dollar","KYG440121054","FHUSA04AFY","Alternative","HF Asia/Pacific Long/Short Equity","Janus’ vision is to be a trusted partner for our clients by consistently delivering global investment excellence. Our long-term strategy of “intelligent diversification” is focused on reducing the volatility and riskiness of our business through the diversification of product offerings, distribution capabilities and geographic presence. Our current strategic initiatives are focused on:

• Further stabilizing investment performance and growing our equity franchise
• Growing our fixed income business, maximizing opportunities for the fundamental and global macro strategies
• Strengthening our distribution capabilities to better serve our clients
• Delivering on our client promises
• Providing clients with operational excellence","Developed Asia Equity - Japan-o","Cayman Islands","Limited Liability Company","Janus Capital Management LLC","Henderson",2000-06-30,2016-05-31,0,NA,"[2000-07-21 -- 2016-05-31] William Garnett;[2000-07-21 -- 2016-05-31] Jeremy Hall;",NA,NA,NA,2010-10-29,325300000,NA,NA,2006-12-31,NA,NA,NA,NA,NA,0,1e+05,"Monetary","Yes",0,1.25,1.25,20,NA,NA,0,"Yes",NA
"17","Act II Partners LP","US Dollar",NA,"FOUSA06C2K","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Unstructured Hedge Fund","Act II Management LP","Act II Management",2002-03-01,2014-06-30,0,"Dennis Leibowitz;Darren Sardoff;","[2002-03-01 -- ] Dennis Leibowitz;[2002-03-01 -- ] Darren Sardoff;",18.5,18.5,NA,2013-12-31,243003000,NA,NA,NA,NA,NA,NA,NA,2002-03-01,12,1e+06,"Monetary",NA,NA,2,NA,20,NA,NA,NA,"Yes",NA
"18","AD Greater China Alpha – Levered","US Dollar",NA,"FOUSA06051","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Mkts Equity - China","United States","Limited Liability Company","Apex Capital management HONG KONG","Apex Capital Management HONG KONG",2005-09-01,NA,1,"Chung Lew;Tat H. AuYeung;","[2005-09-05 -- ] Chung Lew;[2005-09-01 -- ] Tat H. AuYeung;",15,15,NA,2012-11-30,2652000,NA,NA,NA,NA,NA,NA,NA,2005-09-01,0,1e+06,"Monetary",NA,NA,2,NA,20,NA,0,0,"Yes",NA
"19","Alternative Investments International LP","US Dollar",NA,"FHUSA04GBT","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds","United States","Partnership (3C7)","Alternative Investment Group LLC","Alternative Investment Group",2003-07-01,NA,1,"David K. Storrs;Stewart H. Greenfield;Maria L.C. Tapia;Marita Wein;Richard Cheung;Sam Sussman;Joel Gantcher;Christopher Ayton;","[2003-07-01 -- ] David K. Storrs;[2003-07-01 -- ] Stewart H. Greenfield;[2003-07-01 -- ] Maria L.C. Tapia;[2003-07-01 -- ] Marita Wein;[2005-08-01 -- ] Richard Cheung;[2012-01-03 -- ] Sam Sussman;[2012-01-03 -- ] Joel Gantcher;[2008-03-01 -- ] Christopher Ayton;",17.17,14.2,"HFRI Fund of Funds Composite USD",2020-07-31,0,2020-07-31,0,2014-12-31,2014-12-31,21,NA,NA,2003-07-01,12,1e+06,"Monetary","No",0,1,1,5,NA,0,0,"Yes",NA
"20","Alternative Investments LP","US Dollar",NA,"FHUSA04GBU","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds","United States","Partnership (3C7)","Alternative Investment Group LLC","Alternative Investment Group",1996-12-01,NA,1,"David K. Storrs;Stewart H. Greenfield;Maria L.C. Tapia;Marita Wein;Richard Cheung;Sam Sussman;Joel Gantcher;Christopher Ayton;","[1996-12-02 -- ] David K. Storrs;[1996-12-02 -- ] Stewart H. Greenfield;[2002-05-01 -- ] Maria L.C. Tapia;[2003-02-01 -- ] Marita Wein;[2005-08-01 -- ] Richard Cheung;[2012-01-03 -- ] Sam Sussman;[2012-01-03 -- ] Joel Gantcher;[2008-03-01 -- ] Christopher Ayton;",23.75,16.04,"HFRI Fund of Funds Composite USD",2020-07-31,112382200,2020-07-31,112382200,2014-12-31,2014-12-31,28,NA,NA,1996-12-02,12,1e+06,"Monetary","No",0,1,1,5,"We also have a tiered performance fee option.",NA,0,"Yes",NA
"21","Advanced Strategies II LP","US Dollar",NA,"FOUSA06I08","Alternative","HF Fund of Funds - Equity",NA,"Fund of Funds-o","United States","Partnership (3C1)","Wall Street Access Adv Strat LLC",NA,2004-01-30,2011-07-29,0,NA,NA,NA,NA,"S&P 500 TR USD",2011-06-30,4.6e+07,NA,NA,NA,NA,NA,NA,NA,NA,12,5e+05,"Monetary",NA,NA,1.5,NA,0,NA,NA,NA,"No",NA
"22","Alupka Absolute Return Fund LP","US Dollar",NA,"FHUSA04B88","Alternative","HF U.S. Small Cap Long/Short Equity",NA,"U.S. Small Cap Equity-o","United States","Partnership (3C1)","Alupka Asset Management, L.L.C.",NA,2001-05-21,2011-02-24,0,NA,"[2001-05-21 -- 2011-02-24] Nicholas C. Besobrasov;[2001-05-21 -- 2011-02-24] Christopher J. Nelson;",NA,NA,"S&P 500 TR USD",2009-10-31,20805716,NA,NA,NA,NA,NA,NA,NA,NA,12,5e+05,"Monetary","Yes",0,1,1,20,NA,NA,NA,"Yes",NA
"23","AdvantHedge Fund LP","US Dollar",NA,"FHUSA04ERH","Alternative","HF Bear Market Equity",NA,"AdvantHedge-o","United States","Partnership (3C7)","Leuthold Weeden Capital Management LLC","Leuthold",2002-12-02,2010-11-18,0,NA,"[2002-12-02 -- 2010-11-18] Steven C. Leuthold;[2002-12-02 -- 2010-11-18] Matt Paschke;",NA,NA,NA,2009-12-31,4.4e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,"Monetary",NA,NA,1,NA,5,NA,0,NA,"No",NA
"24","Advisory Research Energy Fund","US Dollar",NA,"FOUSA088MW","Alternative","HF U.S. Long/Short Equity","Our roster of clients includes a global list of institutional investors and sophisticated high net worth individual investors. That said, Advisory Research's plan is to grow profitably at a pace that is consistent with our ability to deliver superior investment performance to our clients and to provide a high level of client service to meet the needs of our constituents (clients, consultants, intermediaries, etc.).","ARI Energy Fund-o","United States","Partnership (3C1)","Advisory Research Inc","Advisory Research",2005-04-01,2017-02-23,0,NA,"[2005-04-01 -- 2017-02-23] Matthew W. Dougherty",NA,NA,NA,2015-12-31,76449056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Advisory Research Micro Cap Value Fund","US Dollar",NA,"FHUSA04G82","Alternative","HF U.S. Small Cap Long/Short Equity","Our roster of clients includes a global list of institutional investors and sophisticated high net worth individual investors. That said, Advisory Research's plan is to grow profitably at a pace that is consistent with our ability to deliver superior investment performance to our clients and to provide a high level of client service to meet the needs of our constituents (clients, consultants, intermediaries, etc.).","Micro Cap Value-o","United States","Partnership (3C1)","Advisory Research Inc","Advisory Research",2001-10-01,2014-08-01,0,NA,"[2001-10-01 -- 2014-08-01] Matthew K. Swaim",NA,NA,NA,2014-07-31,22026293,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,"Monetary",NA,NA,1.5,NA,20,NA,0,NA,"Yes",NA
"26","Aetos Cap L/S Port (Onshore)","US Dollar",NA,"FOUSA06A5L","Alternative","HF Fund of Funds - Equity",NA,"FOF - Long Short Portfolio-o","United States","Limited Liability Company","Aetos Capital LP","Aetos",2002-09-03,2010-10-27,0,NA,"[2005-08-01 -- 2010-10-27] Anne Casscells;[2005-08-01 -- 2010-10-27] James Gibbons;[2005-08-01 -- 2010-10-27] Michael Klein;[2007-06-01 -- 2010-10-27] Michael Spath;",NA,NA,NA,2008-08-31,2.432e+09,NA,NA,NA,2006-12-31,10,NA,NA,NA,12,1e+06,"Monetary","No",NA,1,1,10,".75% mgmt fee for invesments $25MM+",NA,NA,"Yes",NA
"27","Aetos Capital Growth Portfolio","US Dollar",NA,"FOUSA06A5J","Alternative","HF Fund of Funds - Equity",NA,"FOF - Growth-o","United States","Limited Liability Company","Aetos Capital LP","Aetos",2002-09-01,2011-07-27,0,NA,"[2002-09-01 -- 2011-07-27] Anne Casscells;[2002-09-01 -- 2011-07-27] James Gibbons;[2002-09-01 -- 2011-07-27] Michael Klein;[2007-06-01 -- 2011-07-27] Michael Spath;",NA,NA,NA,2008-08-31,2.469e+09,NA,NA,NA,2006-12-31,10,NA,NA,NA,12,1e+06,"Monetary","No",NA,1,1,10,".75% mgmt fee for invesments $25MM+",NA,NA,"Yes",NA
"28","AFC North American Market Neutral","US Dollar",NA,"FOUSA06R5B","Alternative","HF Equity Market Neutral",NA,"Market Neutral-o","Cayman Islands","Exempted Limited Partnership","AFC Capital Fund","AFC Capital",2005-11-01,2011-10-26,0,NA,"[2005-11-01 -- 2011-10-26] Alain Boileau;[2005-11-01 -- 2011-10-26] Frederic Belisle;[2005-11-01 -- 2011-10-26] Christian Gagnon;",NA,NA,"Credit Suisse Equity Market Neutral USD",2011-08-31,1.84e+08,NA,NA,2008-12-31,NA,NA,NA,NA,NA,0,1e+06,"Monetary",NA,NA,1.5,1.5,20,NA,NA,0,"Yes",NA
"29","Affirmed Healthcare","US Dollar",NA,"FOUSA08S0U","Alternative","HF U.S. Long/Short Equity",NA,"Long/Short Equity-o","United States","Limited Liability Company","Affirmed Capital, LLC",NA,2008-01-02,2012-01-13,0,NA,"[2008-01-02 -- 2012-01-13] Katharine Kim;[2008-01-02 -- 2012-01-13] Kimberly Dias;",NA,NA,NA,2011-03-31,50200000,NA,NA,NA,2008-12-31,300,NA,NA,NA,12,1e+06,"Monetary",NA,NA,2,NA,20,NA,NA,NA,"Yes",NA
"30","Apprecia Capital Fund I LP","US Dollar",NA,"FHUSA04AMK","Alternative","HF U.S. Long/Short Equity",NA,"U.S. Equity-o","United States","Partnership (3C1)","Apprecia Capital Management LLC","Apprecia Capital",2002-10-01,2018-07-31,0,NA,"[2002-10-01 -- 2018-07-31] Rick D. Puglisi",NA,NA,"Russell 3000 TR USD",2018-02-28,8224881,NA,NA,2006-12-31,2006-12-31,30,NA,NA,NA,12,250000,"Monetary","No",0,1,1,20,NA,NA,0,"Yes",NA
"31","AJB Investment Fund, LP","US Dollar",NA,"FOUSA09N4K","Equity","HF Long-Only Equity",NA,"Long Equity","United States","Partnership (3C1)","AJB Investment Management, LLC","AJB Investment Management",2007-11-20,NA,1,"Adam Bradley","[2007-11-20 -- ] Adam Bradley",12.83,12.83,"S&P 500 Composite PR USD",2017-03-31,2664537,2020-08-31,6102642,2009-12-31,NA,NA,NA,NA,2007-11-20,12,10000,"Monetary",NA,NA,0.5,NA,25,NA,NA,7,"Yes",NA
"32","Ajia Lighthorse China Growth Fd","US Dollar",NA,"FOUSA06LQ3","Alternative","HF Emerging Markets Long/Short Equity",NA,"Emerging Market Equity-o","Cayman Islands","Unstructured Hedge Fund","Lighthorse Assets Management LLC",NA,2006-01-11,2011-09-19,0,NA,"[2006-01-17 -- 2011-09-19] Xiao Yang Kang;[2006-01-17 -- 2011-09-19] Michael Liu;",NA,NA,"MSCI China PR USD",2010-11-30,239940000,NA,NA,NA,2006-12-31,300,NA,NA,NA,0,250000,"Monetary","Yes",NA,2,2,20,NA,1,0,"Yes",NA
"33","Armor Capital Partners LP","US Dollar",NA,"FHUSA04AMM","Alternative","HF Global Long/Short Equity",NA,"Global Equity-o","United States","Partnership (3C1)","Armor Advisors, L.L.C",NA,1998-11-03,2014-09-30,0,NA,"[1998-11-03 -- 2014-09-30] Boris V. Zhilin;[1998-11-03 -- 2014-09-30] Dov Plitman;",NA,NA,"S&P 500 TR USD",2014-08-31,179609853,NA,NA,2006-12-31,NA,NA,NA,NA,NA,24,1e+06,"Monetary","Yes",0,1,1,20,NA,NA,6,"Yes",NA
