date,mktrf,smb,hml,rmw,cma,rf,umd
31.01.1990,-0.0785,-0.0133,0.0087,-0.0113,0.0132,0.0057,-0.0328
28.02.1990,0.0111,0.0118,0.0061,-0.0019,-0.0064,0.0057,-0.0053
31.03.1990,0.0183,0.0164,-0.029,0.0215,-0.0102,0.0064,0.0165
30.04.1990,-0.0336,-0.004,-0.0255,0.0172,-0.0098,0.0069,0.024
31.05.1990,0.0842,-0.024,-0.0374,0.0165,-0.0157,0.0068,0.0305
30.06.1990,-0.0109,0.0138,-0.0194,-0.01,-0.0034,0.0063,0.0243
31.07.1990,-0.019,-0.0327,-0.0001,-0.0027,0.031,0.0068,0.0594
31.08.1990,-0.1015,-0.0385,0.0158,-0.0043,0.0299,0.0066,0.0178
30.09.1990,-0.0612,-0.0378,0.0073,-0.0016,0.0371,0.006,0.0553
31.10.1990,-0.0192,-0.0507,0.0022,0.0287,-0.0049,0.0068,0.0673
30.11.1990,0.0635,-0.0005,-0.0316,0.0081,-0.0475,0.0057,-0.0562
31.12.1990,0.0246,0.0061,-0.0154,0.0286,-0.02,0.006,0.0016
31.01.1991,0.0469,0.0386,-0.0184,0.0155,-0.0408,0.0052,-0.0653
28.02.1991,0.0719,0.0396,-0.0054,-0.0027,-0.0016,0.0048,-0.0473
31.03.1991,0.0265,0.0382,-0.0123,-0.0039,-0.0099,0.0044,0.0283
30.04.1991,-0.0028,0.0033,0.0142,0.0053,0.0071,0.0053,-0.024
31.05.1991,0.0365,0.0017,-0.0057,0.0211,-0.0245,0.0047,-0.001
30.06.1991,-0.0494,0.0017,0.0121,0.0175,0.0063,0.0042,0.0046
31.07.1991,0.0424,-0.0096,-0.0125,0.0161,-0.0141,0.0049,0.0431
31.08.1991,0.0232,0.0144,-0.0078,0.0088,-0.0055,0.0046,0.0163
30.09.1991,-0.0159,0.0155,-0.01,-0.0181,0.0016,0.0046,0.0173
31.10.1991,0.0129,0.0095,-0.0043,-0.0173,-0.0029,0.0042,0.0323
30.11.1991,-0.0419,-0.0087,-0.0193,0.0108,0.0012,0.0039,0.0126
31.12.1991,0.1084,-0.0242,-0.0403,0.0358,-0.0312,0.0038,0.083
31.01.1992,-0.0059,0.0926,0.0451,-0.0133,0.0315,0.0034,-0.0251
29.02.1992,0.0109,0.0135,0.0637,0.0009,0.0204,0.0028,-0.0058
31.03.1992,-0.0266,-0.009,0.0365,-0.0008,0.0193,0.0034,-0.0036
30.04.1992,0.0107,-0.0573,0.0431,0.0171,0.0222,0.0032,-0.026
31.05.1992,0.003,0.0021,0.0128,-0.0096,0.0043,0.0028,0.0013
30.06.1992,-0.0234,-0.0271,0.034,-0.0003,0.0107,0.0032,-0.0061
31.07.1992,0.0377,-0.0061,-0.0053,0.0157,-0.0072,0.0031,0.0144
31.08.1992,-0.0238,-0.0042,-0.0103,0.0379,-0.0162,0.0026,-0.0051
30.09.1992,0.0119,0.0048,-0.0021,0.0153,-0.005,0.0026,0.0143
31.10.1992,0.0102,0.0202,-0.021,0.0131,-0.008,0.0023,0.0271
30.11.1992,0.0413,0.0391,-0.0148,-0.0084,-0.0191,0.0023,-0.0034
31.12.1992,0.0153,0.0164,0.0252,-0.0044,0.0075,0.0028,0.0444
31.01.1993,0.0093,0.0209,0.0587,-0.0177,0.0278,0.0023,0.0483
28.02.1993,0.0012,-0.0342,0.0642,-0.005,0.0405,0.0022,0.031
31.03.1993,0.023,0.0005,0.0122,-0.0029,0.0092,0.0025,0.0374
30.04.1993,-0.0305,-0.0086,0.0261,-0.0369,0.0152,0.0024,0.0033
31.05.1993,0.0289,0.0188,-0.0341,-0.0001,-0.0118,0.0022,0.003
30.06.1993,0.0031,0.0011,0.0262,-0.0106,0.0109,0.0025,0.0457
31.07.1993,-0.0034,0.009,0.0325,-0.0217,0.0203,0.0024,0.0325
31.08.1993,0.0371,0.0024,-0.0045,-0.0115,-0.0004,0.0025,0.0258
30.09.1993,-0.0012,0.0306,-0.0044,0.0077,-0.0008,0.0026,0.0341
31.10.1993,0.0141,0.0162,-0.0154,-0.001,0.0059,0.0022,-0.0267
30.11.1993,-0.0189,-0.0142,-0.0027,0.0155,-0.0096,0.0025,-0.0471
31.12.1993,0.0165,0.0137,0.0056,0.0071,-0.0032,0.0023,0.0228
31.01.1994,0.0287,-0.0014,0.021,-0.023,0.0145,0.0025,0.0002
28.02.1994,-0.0255,0.0265,-0.0146,0.0245,-0.0103,0.0021,-0.0029
31.03.1994,-0.0478,-0.0102,0.0129,0.0077,0.0127,0.0027,-0.0133
30.04.1994,0.0068,-0.0104,0.0167,0.0101,0.0112,0.0027,0.0041
31.05.1994,0.0058,-0.0246,0.002,0.009,0.007,0.0031,-0.0215
30.06.1994,-0.0303,-0.0052,0.0169,0.0116,0.0153,0.0031,-0.0082
31.07.1994,0.0282,-0.0183,0.0062,-0.0089,0.0011,0.0028,0.0019
31.08.1994,0.0401,0.0129,-0.028,0.0087,-0.0145,0.0037,0.0156
30.09.1994,-0.0231,0.0267,-0.0191,0.006,0.0093,0.0037,0.0133
31.10.1994,0.0134,-0.023,-0.0174,0.0058,-0.0062,0.0038,0.0143
30.11.1994,-0.0404,0.0011,-0.0094,0.0081,-0.0044,0.0037,-0.002
31.12.1994,0.0086,-0.0002,0.0054,0.0042,0.0031,0.0044,0.035
31.01.1995,0.018,-0.0276,0.0081,0.0062,-0.0083,0.0042,-0.0182
28.02.1995,0.0363,-0.0055,0.0109,0.0057,-0.0033,0.004,-0.0036
31.03.1995,0.0219,-0.0072,-0.0109,-0.0033,0.0016,0.0046,0.0039
30.04.1995,0.0211,-0.0034,0.0227,0.0005,0.01,0.0044,0.018
31.05.1995,0.029,-0.0206,0.0172,0.0046,0.0009,0.0054,-0.0044
30.06.1995,0.0272,0.0295,-0.0228,-0.0048,-0.0244,0.0047,0.029
31.07.1995,0.0372,0.021,-0.0167,0.0045,-0.0171,0.0045,0.0253
31.08.1995,0.0055,0.0183,0.0271,-0.0136,0.0164,0.0047,0.0009
30.09.1995,0.0335,-0.0188,-0.0075,0.0133,0.0036,0.0043,0.0271
31.10.1995,-0.0152,-0.0405,-0.0073,0.0214,-0.0003,0.0047,0.0411
30.11.1995,0.0396,-0.0117,0.0094,-0.0082,0.0119,0.0042,-0.0065
31.12.1995,0.0103,0.0067,0.0087,-0.0133,0.0299,0.0049,0.0254
31.01.1996,0.0226,-0.0259,0.0031,-0.0064,0.0227,0.0043,0.0057
29.02.1996,0.0133,0.0182,-0.0142,0.004,-0.018,0.0039,0.0057
31.03.1996,0.0073,0.0154,0.0101,0.013,-0.0097,0.0039,-0.0188
30.04.1996,0.0206,0.0464,-0.0391,0.0018,-0.022,0.0046,-0.0091
31.05.1996,0.0236,0.0318,-0.012,0.0043,-0.0022,0.0042,0.0155
30.06.1996,-0.0114,-0.0347,0.0156,0.0346,0.0109,0.004,0.0101
31.07.1996,-0.0597,-0.0368,0.0445,0.0283,0.026,0.0045,-0.0011
